["port 1","LEFT"]
["port 2","RIGHT"]
["port 4","RIGHT"]
["port 3","RIGHT"]
["port 5","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.8737028625000000e+14 5.2879270884357886e-03 -8.4345749084712618e-01
1.8748865029690462e+14 5.2575314102530921e-03 4.2774300329501480e-01
1.8760716398230091e+14 4.3053210320911882e-03 1.6474469444373843e+00
1.8772582759013281e+14 3.3889210720144994e-03 2.6773961083796229e+00
1.8784464140506328e+14 3.0585130126390609e-03 3.6145431902728800e+00
1.8796360571247625e+14 3.1083418755081869e-03 4.6590751511283166e+00
1.8808272079847909e+14 2.8826111129105175e-03 5.8696294163620522e+00
1.8820198694990488e+14 2.1446601917214339e-03 7.0555212023303184e+00
1.8832140445431472e+14 1.4102786038836862e-03 8.0596087640939231e+00
1.8844097360000000e+14 9.2774386758349254e-04 8.8517244527204753e+00
1.8856069467598475e+14 6.8536429762571427e-04 9.5071737888216390e+00
1.8868056797202800e+14 5.1997804850156815e-04 1.0106420419622818e+01
1.8880059377862594e+14 4.7118330568763706e-04 1.0447116573937514e+01
1.8892077238701466e+14 6.4644975508151002e-04 1.0951614820504190e+01
1.8904110408917197e+14 9.1495909458630083e-04 1.1759327237753386e+01
1.8916158917782028e+14 1.1851360631313370e-03 1.2720197215858244e+01
1.8928222794642856e+14 1.3772839861298718e-03 1.3719930521299609e+01
1.8940302068921506e+14 1.5432246540852651e-03 1.4677734250764688e+01
1.8952396770114944e+14 1.7933876342827388e-03 1.5640777097864731e+01
1.8964506927795528e+14 2.1056176012529226e-03 1.6677629659703250e+01
1.8976632571611256e+14 2.3325464825337669e-03 1.7796044763212485e+01
1.8988773731285988e+14 2.3479839886770930e-03 1.8928004363122504e+01
1.9000930436619719e+14 2.2752911607611132e-03 2.0008995584619562e+01
1.9013102717488791e+14 2.2705144817211182e-03 2.1067848310032261e+01
1.9025290603846156e+14 2.2979561264865954e-03 2.2162110561874076e+01
1.9037494125721616e+14 2.2131019879448929e-03 2.3288459235501680e+01
1.9049713313222078e+14 2.0036250433677740e-03 2.4385442187913831e+01
1.9061948196531794e+14 1.8022401124553669e-03 2.5435029963642219e+01
1.9074198805912597e+14 1.6543185042039886e-03 2.6481452360205452e+01
1.9086465171704181e+14 1.4944713905877894e-03 2.7548557771778718e+01
1.9098747324324325e+14 1.2831290977134825e-03 2.8586774029591332e+01
1.9111045294269156e+14 1.0887768074316225e-03 2.9533351106712825e+01
1.9123359112113403e+14 9.7798557934918539e-04 3.0401317195368371e+01
1.9135688808510641e+14 9.4185511283136699e-04 3.1258469075865133e+01
1.9148034414193547e+14 9.2851468540943913e-04 3.2139750693601613e+01
1.9160395959974178e+14 9.1777817455982239e-04 3.3020404325593162e+01
1.9172773476744188e+14 9.4080424077508927e-04 3.3891535864426736e+01
1.9185166995475116e+14 1.0199523388850730e-03 3.4788515510862588e+01
1.9197576547218631e+14 1.1330735514865939e-03 3.5738175956447932e+01
1.9210002163106797e+14 1.2436217098720744e-03 3.6716272582737702e+01
1.9222443874352331e+14 1.3651088888653145e-03 3.7697370684750879e+01
1.9234901712248866e+14 1.5227421558842394e-03 3.8706002131356236e+01
1.9247375708171206e+14 1.6815734144908674e-03 3.9775312200522833e+01
1.9259865893575600e+14 1.7630541380888006e-03 4.0893230452764783e+01
1.9272372300000000e+14 1.7557416368864703e-03 4.2012252269413523e+01
1.9284894959064328e+14 1.7265699203629977e-03 4.3112476343410798e+01
1.9297433902470741e+14 1.7041847373548292e-03 4.4210717155354175e+01
1.9309989162003906e+14 1.6543248455575151e-03 4.5313709469526721e+01
1.9322560769531250e+14 1.5625274964949152e-03 4.6401032552342379e+01
1.9335148757003256e+14 1.4662180620270374e-03 4.7466046878163432e+01
1.9347753156453716e+14 1.3840336652643516e-03 4.8532106717124663e+01
1.9360374000000000e+14 1.2882649651039496e-03 4.9613282326689607e+01
1.9373011319843341e+14 1.1481971954475684e-03 5.0682340297314589e+01
1.9385665148269106e+14 9.7906738126096651e-04 5.1679060827710259e+01
1.9398335517647059e+14 8.4533103680512270e-04 5.2549720120590322e+01
1.9411022460431656e+14 8.1938532353602442e-04 5.3336174614903541e+01
1.9423726009162306e+14 8.7436850030832086e-04 5.4168482240611027e+01
1.9436446196463653e+14 9.4668928455127741e-04 5.5036468123143422e+01
1.9449183055045872e+14 1.0879791615995000e-03 5.5923284500119848e+01
1.9461936617704919e+14 1.3165487443367076e-03 5.6914007272235587e+01
1.9474706917322834e+14 1.4970158284823491e-03 5.7998009909387278e+01
1.9487493986868022e+14 1.5831618489881773e-03 5.9054227754732018e+01
1.9500297859395531e+14 1.7216742713317217e-03 6.0059603646758077e+01
1.9513118568047338e+14 1.9919481423358461e-03 6.1105784990496836e+01
1.9525956146052631e+14 2.2775674130420458e-03 6.2256940677930402e+01
1.9538810626728112e+14 2.3752042117499489e-03 6.3471930429657206e+01
1.9551682043478259e+14 2.2835138966377433e-03 6.4666996252708145e+01
1.9564570429795650e+14 2.1605279033486283e-03 6.5819502913755002e+01
1.9577475819261212e+14 2.0606203011776596e-03 6.6963684095817712e+01
1.9590398245544556e+14 1.9256777469457860e-03 6.8109220271613964e+01
1.9603337742404225e+14 1.7672879464366925e-03 6.9231943293792796e+01
1.9616294343688038e+14 1.6473282405964028e-03 7.0345883974306560e+01
1.9629268083333334e+14 1.5697421536222515e-03 7.1501189327527612e+01
1.9642258995367306e+14 1.4405915979685661e-03 7.2735971027130105e+01
1.9655267113907284e+14 1.1629287908346631e-03 7.3981802653049712e+01
1.9668292473161031e+14 8.3055414857185280e-04 7.5113194437202282e+01
1.9681335107427056e+14 5.6380653277678962e-04 7.6053620772476322e+01
1.9694395051094891e+14 4.0599074453010836e-04 7.6786549200993079e+01
1.9707472338645419e+14 3.3899124901117075e-04 7.7469501643235787e+01
1.9720567004651162e+14 1.9311200419199666e-04 7.7739320309347363e+01
1.9733679083776594e+14 7.1733159920935540e-04 7.7900789407003728e+01
1.9746808610778444e+14 1.3460732152192417e-03 7.9358063884042139e+01
1.9759955620505994e+14 1.8123031367162877e-03 8.0622034382547028e+01
1.9773120147901400e+14 2.3778293557407864e-03 8.2290347094848642e+01
1.9786302228000000e+14 1.8474264496561536e-03 8.4480138195912687e+01
1.9799501895930619e+14 3.5250155237698073e-03 8.3155880228829162e+01
1.9812719186915888e+14 1.9309922875279946e-03 8.4886482294348383e+01
1.9825954136272547e+14 6.3332563662086517e-03 8.4963513282356942e+01
1.9839206779411762e+14 6.2728915639087002e-03 8.7292017718400814e+01
1.9852477151839462e+14 3.5545083002115853e-03 8.8606849977619831e+01
1.9865765289156625e+14 5.9283515876722755e-03 8.9447895843489206e+01
1.9879071227059612e+14 5.7400846400948698e-03 9.0842285169456929e+01
1.9892395001340484e+14 3.0129951690169247e-03 9.1752972980017503e+01
1.9905736647887322e+14 5.3389835330097260e-03 9.3142056357804819e+01
1.9919096202684562e+14 1.9305249022238270e-03 9.4657820862002751e+01
1.9932473701813297e+14 7.5246082757013675e-03 9.4900422288916246e+01
1.9945869181451612e+14 6.7483969309967036e-03 9.6514395866900642e+01
1.9959282677874916e+14 6.5122767203288192e-03 9.7063069389612821e+01
1.9972714227456256e+14 8.1568823566987216e-03 9.9084935178291687e+01
1.9986163866666666e+14 4.9585789615162121e-03 1.0079598503869360e+02
("port 1","mode 1",1,"port 2",1,"transmission")
(100, 3)
1.8737028625000000e+14 4.6629811130542442e-01 -1.5379839474867363e+00
1.8748865029690462e+14 4.6820150395584775e-01 -9.6729089203947527e-01
1.8760716398230091e+14 4.6961415912245019e-01 -3.9351098887087110e-01
1.8772582759013281e+14 4.6977236241606485e-01 1.8104238594343988e-01
1.8784464140506328e+14 4.6928477902611804e-01 7.5442627307835208e-01
1.8796360571247625e+14 4.6902193901785694e-01 1.3263272143844584e+00
1.8808272079847909e+14 4.6987633461171979e-01 1.8980870758271733e+00
1.8820198694990488e+14 4.7146776743800101e-01 2.4725024005603258e+00
1.8832140445431472e+14 4.7266643745007786e-01 3.0492552335524716e+00
1.8844097360000000e+14 4.7333159754479370e-01 3.6270699739772807e+00
1.8856069467598475e+14 4.7356325785554348e-01 4.2054129726105209e+00
1.8868056797202800e+14 4.7348700851241166e-01 4.7837753336985740e+00
1.8880059377862594e+14 4.7345898796129610e-01 5.3620398593781289e+00
1.8892077238701466e+14 4.7361199207650395e-01 5.9406767605462578e+00
1.8904110408917197e+14 4.7396049960438186e-01 6.5198354562777796e+00
1.8916158917782028e+14 4.7463400033186476e-01 7.0998996898389928e+00
1.8928222794642856e+14 4.7538604138494645e-01 7.6816817366876320e+00
1.8940302068921506e+14 4.7569272168340027e-01 8.2647104337332085e+00
1.8952396770114944e+14 4.7560452588151836e-01 8.8480403691152105e+00
1.8964506927795528e+14 4.7535752508832169e-01 9.4311596416163326e+00
1.8976632571611256e+14 4.7547841207049324e-01 1.0013954269196098e+01
1.8988773731285988e+14 4.7629347340640238e-01 1.0597890999036217e+01
1.9000930436619719e+14 4.7715442755883519e-01 1.1183912835095212e+01
1.9013102717488791e+14 4.7762961087973776e-01 1.1771238515459752e+01
1.9025290603846156e+14 4.7776477647009263e-01 1.2359163510087640e+01
1.9037494125721616e+14 4.7775796186623409e-01 1.2947367799575773e+01
1.9049713313222078e+14 4.7778364148927494e-01 1.3536000791631446e+01
